"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1.1.63,"#12 - Criação de tabelas do banco de dados",task,2019-02-15,2019-02-18,0,0,100,Rafael,,,,blue3
1.1.64,"#13 - Automatizar build",task,2019-02-19,2019-02-25,0,0,100,Rafael,1.1.63,,,blue3
1.1.65,"#22 - Automatizar build",task,2019-02-25,2019-02-25,0,0,100,Rafael,,,,green3
1.1.66,"#8 - Controller de empresa",task,2019-02-25,2019-02-25,0,0,100,Rafael,1.1.64,,,blue3
1.1.67,"#5 - Default filter para cliente",task,2019-02-25,2019-02-25,0,0,100,Rafael,1.1.66,,,blue3
1.1.68,"#16 - Alterar cliente logado",task,2019-02-26,2019-02-26,0,0,100,Rafael,1.1.67,,,blue3
1.1.69,"#21 - Selecionar cliente logado",task,2019-02-26,2019-02-26,0,0,100,Rafael,1.1.68,,,green3
1.1.70,"Pesquisar meio para bloqueio de permissão específica de um dado",task,2019-02-27,2019-02-27,0,0,0,Rafael,1.1.69,,,red1
1.1.71,"#15 - Adicionar SoftDelete no sistema",task,2019-02-28,2019-02-28,0,0,100,Rafael,1.1.70,,,blue3
1.1.72,"#17 - Trocar a chave ID por UUID",task,2019-03-01,2019-03-01,0,0,100,Rafael,1.1.71,,,blue3
1.1.73,"#2 - Controller de Grupos",task,2019-03-01,2019-03-01,0,0,100,Rafael,1.1.72,,,blue3
1.1.74,"#18 - Publicação pelo Jenkins",task,2019-03-08,2019-03-08,0,0,0,Rafael,,,,blue3
1.1.75,"#8 - Tela de Grupos",task,2019-03-04,2019-03-05,0,0,100,Rafael,1.1.73,,,green3
1.1.76,"#1 - Controller de Usuários",task,2019-03-06,2019-03-06,0,0,100,Rafael,1.1.75,,,blue3
1.1.77,"#6 - Tela de Usuários",task,2019-03-07,2019-03-07,0,0,100,Rafael,1.1.76,,,green3
1.1.78,"#19 - Navegação por abas",task,2019-03-08,2019-03-11,0,0,0,Rafael,1.1.77,,,green3
